name,code,year,month,cat1_in_progress,cat1_invoice_prep,cat1_at_hq,cat1_at_finance,cat1_total,cat2_in_progress,cat2_invoice_prep,cat2_at_hq,cat2_at_finance,cat2_total,cat3_in_progress,cat3_invoice_prep,cat3_at_hq,cat3_at_finance,cat3_total,cat4_in_progress,cat4_invoice_prep,cat4_at_consultant,cat4_at_hq,cat4_at_finance,cat4_total,cat5_in_progress,cat5_invoice_prep,cat5_at_consultant,cat5_at_hq,cat5_at_finance,cat5_total,cat6_in_progress,cat6_invoice_prep,cat6_at_consultant,cat6_at_hq,cat6_at_finance,cat6_total,cat7_in_progress,cat7_invoice_prep,cat7_at_consultant,cat7_at_hq,cat7_at_finance,cat7_total,cat_in_progress,cat_invoice_prep,cat_at_consultant,cat_at_hq,cat_at_finance,cat_total
شهر 1,6010,1401,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,9,0,0,0,0,9
شهر 2,6001,1401,7,10,0,0,0,10,0,0,0,0,0,3,0,0,0,3,10,0,0,0,0,10,17,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,4,44,0,0,0,0,44
شهر 3,5001,1401,7,6,0,1,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,45,0,0,0,0,45,0,0,0,0,0,0,13,0,0,0,0,13,76,0,0,1,0,77
شهر 4,9001,1401,7,15,0,5,0,20,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,7,0,7,1,0,15,0,0,0,0,0,0,49,0,1,0,0,50,124,0,8,6,0,138
شهر 5,7001,1401,7,34,0,1,1,36,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,87,0,0,1,1,89,0,0,0,0,0,0,52,0,0,0,0,52,200,0,0,2,2,204
شهر 6,6005,1401,7,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,12,0,0,0,0,12,11,5,2,0,0,18,0,0,0,0,0,0,18,0,0,1,0,19,43,5,2,2,0,52
شهر 7,8401,1401,7,17,0,1,0,18,1,0,0,0,1,0,0,0,0,0,26,0,0,0,0,26,79,0,0,0,0,79,0,0,0,0,0,0,48,0,0,0,0,48,171,0,0,1,0,172
شهر 8,9501,1401,7,13,0,1,0,14,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,10,16,0,0,0,0,16,0,0,0,0,0,0,11,0,0,0,0,11,51,0,0,1,0,52
شهر 9,2001,1401,7,8,2,3,0,13,0,0,0,0,0,0,0,1,0,1,27,0,1,0,1,29,79,1,42,5,0,127,0,0,0,0,0,0,38,0,12,0,0,50,152,3,55,9,1,220
شهر 10,7501,1401,7,41,0,1,0,42,3,0,0,0,3,0,0,0,0,0,10,0,0,0,0,10,71,0,0,0,0,71,4,0,0,0,0,4,36,0,0,0,0,36,165,0,0,1,0,166
